"","HER2","TNBC","NonTNBC","Normal"
"MEyellow",0.773999087177135,-0.488727147732416,0.00754882922529868,-0.354121502681942
"MEturquoise",-0.483852150560892,0.612921834948766,0.106495404234252,-0.291621987989305
"MEred",-0.468461018244243,-0.50800293988171,0.841873537104916,0.106009859604375
"MEblue",-0.602145142402871,0.0528869588057352,-0.167374052265494,0.876653162095528
"MEbrown",0.00869579203514175,-0.596844479153677,-0.101501333668564,0.83964633757554
"MEgreen",-0.247108660624584,-0.255065896081477,-0.266306973140621,0.945909504293981
"MEgrey",0.578962324506201,-0.553893021735807,-0.0478968734252632,0.0307827137913691
