"gene","kME"
"ENSG00000065361",0.935148353696587
"ENSG00000178568",0.915561888266754
"ENSG00000084628",0.903667156772614
"ENSG00000170871",0.887528519320075
"ENSG00000111058",0.884983374890507
"ENSG00000291083",0.869502285280864
"ENSG00000142973",0.840465455792174
"ENSG00000168004",0.83943034834087
"ENSG00000186665",0.826813631539532
"ENSG00000135622",0.814424821055927
"ENSG00000172428",0.813939227066468
"ENSG00000161653",0.792024812322494
"ENSG00000116191",0.771478921562527
"ENSG00000126562",0.746228273626738
"ENSG00000172058",0.73695555891579
"ENSG00000290387",0.72626374211828
"ENSG00000150667",0.725258626270394
"ENSG00000224559",0.711488716663934
"ENSG00000160345",0.678188569067652
"ENSG00000003989",0.656319294607626
