"","HER2","TNBC","NonTNBC","Normal"
"MEyellow",0.000100782870452193,0.0337266341435303,0.975531956763418,0.136886867551012
"MEturquoise",0.0358156643311109,0.00526642231066692,0.66434210488367,0.225740897685268
"MEred",0.0430732163133893,0.0263768204651101,6.19947443058851e-06,0.665787640521462
"MEblue",0.00637130627148717,0.829745258654601,0.493411347624826,8.49571466844483e-07
"MEbrown",0.971815615438528,0.00698030867777733,0.679263504114347,6.9265025800468e-06
"MEgreen",0.307763390257546,0.291935153517089,0.270439251586661,9.79266013900618e-10
"MEgrey",0.00939383513453393,0.0138709913796648,0.845616146940622,0.900445641843288
