"gene","kME"
"ENSG00000229794",0.958075011009183
"ENSG00000176124",0.946561280768163
"ENSG00000270314",0.945770725835349
"ENSG00000206634",0.943990832278269
"ENSG00000206838",0.943425650979119
"ENSG00000225572",0.937122684509181
"ENSG00000206596",0.93702519297662
"ENSG00000207005",0.93702519297662
"ENSG00000207389",0.93702519297662
"ENSG00000273768",0.93702519297662
"ENSG00000207051",0.935775077486799
"ENSG00000277184",0.935492754691287
"ENSG00000283958",0.934896033164848
"ENSG00000206834",0.933549832706091
"ENSG00000252213",0.931807501976072
"ENSG00000207145",0.931545460478291
"ENSG00000162630",0.929556037792326
"ENSG00000254911",0.929338136332607
"ENSG00000238363",0.928598606372334
"ENSG00000281026",0.928595999955547
