"ENSEMBL","ENTREZID"
"ENSG00000152795","9987"
"ENSG00000167470","90007"
"ENSG00000162618","64123"
"ENSG00000277224","8343"
"ENSG00000212283","692205"
"ENSG00000131508","7322"
"ENSG00000115053","4691"
"ENSG00000009790","80342"
"ENSG00000174437","488"
"ENSG00000115520","80219"
"ENSG00000100906","4792"
"ENSG00000187244","4059"
"ENSG00000177733","10949"
"ENSG00000135631","26056"
"ENSG00000187626","387032"
"ENSG00000205362","4489"
"ENSG00000154734","9510"
"ENSG00000135334","55122"
"ENSG00000125148","4502"
"ENSG00000248333","984"
"ENSG00000092853","63967"
"ENSG00000123338","3071"
"ENSG00000252010","677775"
"ENSG00000156860","64319"
"ENSG00000132823","51526"
"ENSG00000147889","1029"
"ENSG00000104695","5516"
"ENSG00000108691","6347"
"ENSG00000117724","1063"
"ENSG00000162063","899"
"ENSG00000121486","81627"
"ENSG00000101421","128866"
"ENSG00000274997","85235"
"ENSG00000200156","26832"
"ENSG00000252481","677768"
"ENSG00000275379","8354"
"ENSG00000177426","7050"
"ENSG00000148303","6130"
"ENSG00000153767","2960"
"ENSG00000080986","10403"
"ENSG00000120709","51307"
"ENSG00000120709","100128966"
"ENSG00000167182","6668"
"ENSG00000197409","8351"
"ENSG00000105967","22797"
"ENSG00000087087","51593"
"ENSG00000111676","1822"
"ENSG00000166579","81565"
"ENSG00000196588","57591"
"ENSG00000067082","1316"
"ENSG00000129467","196883"
"ENSG00000121903","7579"
"ENSG00000024526","55635"
"ENSG00000077150","4791"
"ENSG00000187479","387763"
"ENSG00000175505","23529"
"ENSG00000152518","678"
"ENSG00000049759","23327"
"ENSG00000167996","2495"
"ENSG00000197279","7718"
"ENSG00000185130","8340"
"ENSG00000137812","57082"
"ENSG00000186468","6228"
"ENSG00000115760","57448"
"ENSG00000205502","388125"
"ENSG00000182087","91304"
"ENSG00000064300","4804"
"ENSG00000129317","83448"
"ENSG00000112511","5252"
"ENSG00000257529","100529097"
"ENSG00000177606","3725"
"ENSG00000183023","6546"
"ENSG00000278771","378707"
"ENSG00000277075","3012"
"ENSG00000199631","26818"
"ENSG00000165006","51271"
"ENSG00000137818","6176"
"ENSG00000267322","677769"
"ENSG00000267322","103091864"
"ENSG00000197172","4102"
"ENSG00000197172","4105"
"ENSG00000175538","10008"
"ENSG00000105327","27113"
"ENSG00000213186","286827"
"ENSG00000157557","2114"
"ENSG00000140941","81631"
"ENSG00000128283","11135"
"ENSG00000275221","8330"
"ENSG00000126705","27245"
"ENSG00000059728","4084"
"ENSG00000277157","8360"
"ENSG00000086544","80271"
"ENSG00000122641","3624"
"ENSG00000154451","115362"
"ENSG00000116871","55700"
"ENSG00000172071","9451"
"ENSG00000227500","113178"
"ENSG00000286522","8358"
"ENSG00000132436","63979"
"ENSG00000149564","90952"
"ENSG00000119147","84417"
"ENSG00000159840","7791"
"ENSG00000161642","25946"
"ENSG00000068745","51447"
"ENSG00000175087","149420"
"ENSG00000111229","10094"
"ENSG00000248527","106480796"
"ENSG00000088808","23368"
"ENSG00000196683","54543"
"ENSG00000196683","107986346"
"ENSG00000108509","23125"
"ENSG00000136854","6812"
"ENSG00000135390","517"
"ENSG00000105656","8178"
"ENSG00000128805","58504"
"ENSG00000238554","106481619"
"ENSG00000134531","2012"
"ENSG00000141551","1453"
"ENSG00000207304","654320"
"ENSG00000117616","57035"
"ENSG00000136231","10643"
"ENSG00000133639","694"
"ENSG00000209582","652965"
"ENSG00000139289","22822"
"ENSG00000052749","23223"
"ENSG00000128000","163131"
"ENSG00000104081","90427"
"ENSG00000061273","51564"
"ENSG00000179134","55095"
"ENSG00000189144","126231"
"ENSG00000148841","85450"
"ENSG00000137124","219"
"ENSG00000130300","83483"
"ENSG00000199568","26831"
"ENSG00000132005","5989"
"ENSG00000278588","8346"
"ENSG00000139112","23710"
"ENSG00000197056","79830"
"ENSG00000170345","2353"
"ENSG00000143228","83540"
"ENSG00000226777","9834"
"ENSG00000143384","4170"
"ENSG00000143384","574406"
"ENSG00000134070","3656"
"ENSG00000197483","89887"
"ENSG00000185624","5034"
"ENSG00000100055","27128"
"ENSG00000161405","22806"
"ENSG00000180596","8347"
"ENSG00000221869","1052"
"ENSG00000177666","57104"
"ENSG00000118503","7128"
"ENSG00000109220","26511"
"ENSG00000120705","2107"
"ENSG00000198026","63925"
"ENSG00000204389","3303"
"ENSG00000221867","4102"
"ENSG00000221867","4105"
"ENSG00000099917","51586"
"ENSG00000090339","3383"
"ENSG00000164949","2669"
"ENSG00000184557","9021"
"ENSG00000200795","26835"
"ENSG00000196843","10865"
"ENSG00000125931","4435"
"ENSG00000169679","699"
"ENSG00000251322","85358"
"ENSG00000171241","79801"
"ENSG00000125534","79144"
"ENSG00000111011","65117"
"ENSG00000116273","148479"
"ENSG00000202252","85389"
"ENSG00000126945","3188"
"ENSG00000179388","1960"
"ENSG00000120896","10174"
"ENSG00000275713","8345"
"ENSG00000167208","124460"
"ENSG00000276368","8331"
"ENSG00000088038","4849"
"ENSG00000148339","114789"
"ENSG00000172053","5859"
"ENSG00000113441","4012"
"ENSG00000181773","2827"
"ENSG00000145283","345274"
"ENSG00000138964","64098"
"ENSG00000166265","116159"
"ENSG00000111057","3875"
"ENSG00000144802","64332"
"ENSG00000133243","55643"
"ENSG00000148840","23082"
"ENSG00000181847","201633"
"ENSG00000169733","5986"
"ENSG00000177301","3737"
"ENSG00000170915","85315"
"ENSG00000130518","80726"
"ENSG00000132002","3337"
"ENSG00000274618","8361"
"ENSG00000122122","54440"
"ENSG00000171860","719"
"ENSG00000130811","8666"
"ENSG00000196850","160760"
"ENSG00000079313","57455"
"ENSG00000291127","645784"
"ENSG00000145649","3001"
"ENSG00000090889","24137"
"ENSG00000146192","221472"
"ENSG00000160654","917"
"ENSG00000129911","83855"
"ENSG00000158615","84919"
"ENSG00000177600","6181"
"ENSG00000136731","56886"
"ENSG00000111912","135112"
"ENSG00000044115","1495"
"ENSG00000150637","10666"
"ENSG00000277775","8968"
"ENSG00000159200","1827"
"ENSG00000178035","3615"
"ENSG00000120129","1843"
"ENSG00000277985","26781"
"ENSG00000177272","3738"
"ENSG00000254685","8790"
"ENSG00000123500","1300"
"ENSG00000168564","55602"
"ENSG00000137802","23005"
"ENSG00000251562","378938"
"ENSG00000161960","1973"
"ENSG00000102524","10673"
"ENSG00000127415","3425"
"ENSG00000008405","1407"
"ENSG00000198517","7975"
"ENSG00000139722","79720"
"ENSG00000162522","57648"
"ENSG00000166851","5347"
"ENSG00000181026","64782"
"ENSG00000148337","25792"
"ENSG00000153234","4929"
"ENSG00000130175","5589"
"ENSG00000175866","10458"
"ENSG00000240498","100048912"
"ENSG00000171298","2548"
"ENSG00000278637","8359"
"ENSG00000203811","126961"
"ENSG00000142731","10733"
"ENSG00000197714","10794"
"ENSG00000233757","344065"
"ENSG00000167658","1938"
"ENSG00000150337","2209"
"ENSG00000165168","1536"
"ENSG00000181722","26137"
"ENSG00000089486","29965"
"ENSG00000120370","92344"
"ENSG00000207166","26780"
"ENSG00000189143","1364"
"ENSG00000107338","6461"
"ENSG00000150459","10284"
"ENSG00000152484","219333"
"ENSG00000197782","284323"
"ENSG00000174130","10333"
"ENSG00000099624","513"
"ENSG00000198805","4860"
"ENSG00000198242","6147"
"ENSG00000161970","6154"
"ENSG00000122877","1959"
"ENSG00000275126","8368"
"ENSG00000100354","23112"
"ENSG00000184743","25923"
"ENSG00000232810","7124"
"ENSG00000282164","359809"
"ENSG00000167106","399665"
"ENSG00000213398","3931"
"ENSG00000196091","4604"
"ENSG00000135838","80896"
"ENSG00000251442","101928893"
"ENSG00000132535","1742"
"ENSG00000142655","5195"
"ENSG00000273983","8355"
"ENSG00000160131","203547"
"ENSG00000104972","10859"
"ENSG00000067334","30836"
"ENSG00000136160","1910"
"ENSG00000161835","160622"
"ENSG00000158714","56833"
"ENSG00000088992","54997"
"ENSG00000173083","10855"
"ENSG00000138135","9023"
"ENSG00000275714","8350"
"ENSG00000099995","10291"
"ENSG00000183808","389677"
"ENSG00000291237","6648"
"ENSG00000176476","112869"
"ENSG00000175203","10540"
"ENSG00000187800","375033"
"ENSG00000162889","9261"
"ENSG00000173846","1263"
"ENSG00000173334","10221"
"ENSG00000136158","10253"
"ENSG00000280498","692073"
"ENSG00000207496","619563"
"ENSG00000162413","9903"
"ENSG00000177169","8408"
"ENSG00000184060","55803"
"ENSG00000240207","100287290"
"ENSG00000124635","8970"
"ENSG00000232884","105372738"
"ENSG00000139631","51380"
"ENSG00000101096","4773"
"ENSG00000286071","105373170"
"ENSG00000113575","5515"
"ENSG00000164543","9263"
"ENSG00000137764","5607"
"ENSG00000110077","64231"
"ENSG00000142867","8915"
"ENSG00000117425","8643"
"ENSG00000141522","396"
"ENSG00000229140","137196"
"ENSG00000229140","728724"
"ENSG00000229140","106144608"
"ENSG00000152332","127933"
"ENSG00000221909","221786"
"ENSG00000003989","6542"
"ENSG00000152284","83439"
"ENSG00000156232","123720"
"ENSG00000010818","3097"
"ENSG00000116701","4688"
"ENSG00000197329","57162"
"ENSG00000184113","7122"
"ENSG00000212464","677800"
"ENSG00000104885","84444"
"ENSG00000107581","8661"
"ENSG00000166483","7465"
"ENSG00000198900","7150"
"ENSG00000179094","5187"
"ENSG00000186642","5138"
"ENSG00000139291","55266"
"ENSG00000141258","9905"
"ENSG00000163638","56999"
"ENSG00000140320","22893"
"ENSG00000108557","10743"
"ENSG00000197063","4097"
"ENSG00000130202","5819"
"ENSG00000260034","100506655"
"ENSG00000091138","1811"
"ENSG00000126860","2123"
"ENSG00000169992","57555"
"ENSG00000100815","9321"
"ENSG00000127528","10365"
"ENSG00000287080","8352"
"ENSG00000081237","5788"
"ENSG00000145741","689"
"ENSG00000270722","124904619"
"ENSG00000275143","677781"
"ENSG00000087903","5990"
"ENSG00000076826","57662"
"ENSG00000087365","10992"
"ENSG00000169019","54951"
"ENSG00000201998","677808"
"ENSG00000083896","91746"
"ENSG00000163563","4332"
"ENSG00000197629","219972"
"ENSG00000205277","10071"
"ENSG00000184545","1850"
"ENSG00000145386","890"
"ENSG00000212907","4539"
"ENSG00000050327","7984"
"ENSG00000197863","388536"
"ENSG00000276410","3018"
"ENSG00000163535","151246"
"ENSG00000013441","1195"
"ENSG00000204435","1460"
"ENSG00000225783","440823"
"ENSG00000184967","79050"
"ENSG00000143947","6233"
"ENSG00000129173","79733"
"ENSG00000204388","3304"
"ENSG00000221491","677815"
"ENSG00000169252","154"
"ENSG00000207165","26778"
"ENSG00000117650","4751"
"ENSG00000139618","675"
"ENSG00000196981","54554"
"ENSG00000111077","23371"
"ENSG00000241560","100131117"
"ENSG00000255112","57132"
"ENSG00000148331","140459"
"ENSG00000184992","140707"
"ENSG00000116560","6421"
"ENSG00000199347","26829"
"ENSG00000278463","8335"
"ENSG00000186174","283149"
"ENSG00000170312","983"
"ENSG00000169203","440353"
"ENSG00000187790","57697"
"ENSG00000168389","84879"
"ENSG00000105835","10135"
"ENSG00000164318","133584"
"ENSG00000007944","29116"
"ENSG00000099381","9739"
"ENSG00000116221","51253"
"ENSG00000197756","6168"
"ENSG00000247828","100505894"
"ENSG00000078804","58476"
"ENSG00000199785","619565"
"ENSG00000254166","103164619"
"ENSG00000072571","3161"
"ENSG00000142347","4542"
"ENSG00000204138","65979"
"ENSG00000105383","945"
"ENSG00000131051","9584"
"ENSG00000156858","78994"
"ENSG00000169607","150468"
"ENSG00000051341","10721"
"ENSG00000197976","8227"
"ENSG00000292343","8227"
"ENSG00000198554","11169"
"ENSG00000100941","5411"
"ENSG00000105321","26093"
"ENSG00000114812","7433"
"ENSG00000185033","10509"
"ENSG00000050820","9564"
"ENSG00000196136","12"
"ENSG00000123485","55355"
"ENSG00000135898","9290"
"ENSG00000286019","100996763"
"ENSG00000196208","9687"
"ENSG00000161929","388325"
"ENSG00000184588","5142"
"ENSG00000068028","11186"
"ENSG00000129450","27180"
"ENSG00000172602","27289"
"ENSG00000142784","23038"
"ENSG00000172243","64581"
"ENSG00000080845","22839"
"ENSG00000174749","132720"
"ENSG00000186818","11006"
"ENSG00000129657","6397"
"ENSG00000068323","7030"
"ENSG00000060718","1301"
"ENSG00000160791","1234"
"ENSG00000275994","677809"
"ENSG00000163606","131450"
"ENSG00000119508","8013"
"ENSG00000180257","125893"
"ENSG00000121310","55268"
"ENSG00000196209","284759"
"ENSG00000075415","5250"
"ENSG00000198888","4535"
"ENSG00000197153","8356"
"ENSG00000183655","64410"
"ENSG00000225830","2074"
"ENSG00000187037","353345"
"ENSG00000238917","652966"
"ENSG00000138668","3184"
"ENSG00000150977","196383"
"ENSG00000225091","26777"
"ENSG00000124145","6385"
"ENSG00000120889","8795"
"ENSG00000115163","1058"
"ENSG00000134516","1794"
"ENSG00000114450","59345"
"ENSG00000175093","92369"
"ENSG00000185900","84197"
"ENSG00000197471","6693"
"ENSG00000012211","4007"
"ENSG00000204569","5514"
"ENSG00000115268","6209"
"ENSG00000080839","5933"
"ENSG00000102837","10562"
"ENSG00000145777","85480"
"ENSG00000164109","4085"
"ENSG00000221676","100151684"
"ENSG00000113389","4883"
"ENSG00000152969","152789"
"ENSG00000230838","105373869"
"ENSG00000185278","84614"
"ENSG00000102384","2491"
"ENSG00000281103","100506776"
